GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0008150,biological_process,1329,138,170.81,0.0012
GO:0055072,iron ion homeostasis,14,4,1.8,0.0015
GO:0001975,response to amphetamine,5,3,0.64,0.0037
GO:0006098,pentose-phosphate shunt,2,2,0.26,0.0056
GO:0033148,positive regulation of intracellular est...,2,2,0.26,0.0056
GO:0007512,adult heart development,2,2,0.26,0.0056
GO:0008272,sulfate transport,2,2,0.26,0.0056
GO:0090399,replicative senescence,2,2,0.26,0.0056
GO:0006915,apoptotic process,166,24,21.34,0.0098
GO:0055085,transmembrane transport,120,12,15.42,0.0152
