GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0014829,vascular smooth muscle contraction,1,1,0.03,0.022
GO:1901984,negative regulation of protein acetylati...,1,1,0.03,0.022
GO:0090398,cellular senescence,1,1,0.03,0.022
GO:0071313,cellular response to caffeine,1,1,0.03,0.022
GO:0010763,positive regulation of fibroblast migrat...,1,1,0.03,0.022
GO:0033600,negative regulation of mammary gland epi...,1,1,0.03,0.022
GO:0060763,mammary duct terminal end bud growth,1,1,0.03,0.022
GO:0050772,positive regulation of axonogenesis,1,1,0.03,0.022
GO:0002042,cell migration involved in sprouting ang...,1,1,0.03,0.022
GO:2001032,regulation of double-strand break repair...,1,1,0.03,0.022
