GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006986,response to unfolded protein,4,2,0.23,0.0059
GO:0007275,multicellular organism development,148,6,8.63,0.0085
GO:0006120,"mitochondrial electron transport, NADH t...",7,2,0.41,0.0195
GO:0010951,negative regulation of endopeptidase act...,3,2,0.17,0.0314
GO:0051604,protein maturation,6,2,0.35,0.0315
GO:0046689,response to mercury ion,1,1,0.06,0.0327
GO:0030837,negative regulation of actin filament po...,1,1,0.06,0.0327
GO:0046326,positive regulation of glucose import,1,1,0.06,0.0327
GO:0016239,positive regulation of macroautophagy,1,1,0.06,0.0327
GO:0010025,wax biosynthetic process,1,1,0.06,0.0327
