GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0070374,positive regulation of ERK1 and ERK2 cas...,6,3,0.33,0.0022
GO:0045766,positive regulation of angiogenesis,3,2,0.17,0.0074
GO:0071230,cellular response to amino acid stimulus,4,2,0.22,0.0143
GO:0005975,carbohydrate metabolic process,23,4,1.28,0.0427
GO:0043068,positive regulation of programmed cell d...,20,2,1.11,0.0512
GO:0006166,purine ribonucleoside salvage,1,1,0.06,0.0512
GO:0006168,adenine salvage,1,1,0.06,0.0512
GO:0060009,Sertoli cell development,1,1,0.06,0.0512
GO:0051770,positive regulation of nitric-oxide synt...,1,1,0.06,0.0512
GO:0019626,short-chain fatty acid catabolic process,1,1,0.06,0.0512
