GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0006120,"mitochondrial electron transport, NADH t...",7,3,0.7,0.0067
GO:0001894,tissue homeostasis,4,2,0.4,0.0212
GO:0001958,endochondral ossification,4,2,0.4,0.0212
GO:0030574,collagen catabolic process,4,2,0.4,0.0212
GO:0022617,extracellular matrix disassembly,5,2,0.5,0.0339
GO:0045892,"negative regulation of transcription, DN...",25,4,2.49,0.0414
GO:0006955,immune response,36,4,3.58,0.0486
GO:0008150,biological_process,495,44,49.29,0.0545
GO:0042981,regulation of apoptotic process,38,6,3.78,0.0586
GO:0006950,response to stress,103,10,10.26,0.0595
