GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0008150,biological_process,495,44,55.63,0.0027
GO:2000045,regulation of G1/S transition of mitotic...,6,4,0.67,0.0035
GO:0034220,ion transmembrane transport,30,7,3.37,0.0123
GO:0010468,regulation of gene expression,115,9,12.92,0.0611
GO:0042304,regulation of fatty acid biosynthetic pr...,2,2,0.22,0.0613
GO:0016126,sterol biosynthetic process,3,2,0.34,0.0613
GO:0051924,regulation of calcium ion transport,5,2,0.56,0.0615
GO:0042770,signal transduction in response to DNA d...,5,2,0.56,0.0615
GO:0072659,protein localization to plasma membrane,1,1,0.11,0.0626
GO:0014904,myotube cell development,1,1,0.11,0.0626
