GO_ID,Term,Annotated,Significant,Expected,fisher
GO:0007018,microtubule-based movement,5,3,0.29,0.0076
GO:0030308,negative regulation of cell growth,8,2,0.47,0.0345
GO:0043063,intercellular bridge organization,1,1,0.06,0.0384
GO:2000785,regulation of autophagosome assembly,1,1,0.06,0.0384
GO:0007094,mitotic spindle assembly checkpoint,1,1,0.06,0.0384
GO:0086005,ventricular cardiac muscle cell action p...,1,1,0.06,0.0384
GO:0002437,inflammatory response to antigenic stimu...,1,1,0.06,0.0384
GO:0032466,negative regulation of cytokinesis,1,1,0.06,0.0384
GO:0032481,positive regulation of type I interferon...,1,1,0.06,0.0384
GO:0075733,intracellular transport of virus,1,1,0.06,0.0384
